! Summary of image counts for Job= AEGISmaster_is090wC
! Source File: all_lrds_cstack_good_coord.fits      X-ray Band: 500_2000
! Source from <-9 asec  Background from >= 7.0 arcsec
! Pixel_size= 0.492000000000012 arcsec
! Poststamp_img_size=60x60 (pix) 30.0x30.0 (arcsec)
! src_rate= (cts_src/exp_src-cts_bkg/exp_bkg/px_bkg*px_src)/ecf (for each field,lbl=n)
!         = (wgt*exp_src)-weighted mean of used fields (lbl=sum) or objects (lbl=All).
! UL90: 90 percent Bayasian upper limit in c/s
! *** Note: cts_src,exp_src,px_src,cts_bkg,exp_bkg px_bkg and ul90b not weighted.            
!Obj_name     lbl  rad cts_src  exp_src  px_src cts_bkg  exp_bkg  px_bkg  src_rate    wgt    ecf offax     ul90b  Field/Comm 
!                (asec)  (cts)   (sec)    (pix)   (cts)   (sec)    (pix)    (c/s)               (amin)     (c/s)
 CEERS_01665    2  4.0      10 5.04e+05      213      39 4.85e+05     1602  1.02e-05 1.0e+00 0.900  5.51 -9.99e+00 aegis1b/X-src
 CEERS_01665  sum  1.4       2 1.95e+05       25      26 1.92e+05     3080  1.01e-05 1.0e+00 0.900 -9.90  2.90e-05 used_flds:1
 CEERS_02782    1  1.0       0 1.42e+05       13      23 1.48e+05     3080 -7.14e-07 1.0e+00 0.920  1.14 -9.99e+00 aegis2a/OK
 CEERS_02782    2  1.0       1 5.76e+05       13      99 5.68e+05     3080  1.11e-06 1.0e+00 0.903  1.57 -9.99e+00 aegis2b/OK
 CEERS_02782  sum  1.0       1 7.18e+05       26     122 7.15e+05     6160  7.43e-07 1.0e+00 0.906 -9.90  5.38e-06 used_flds:2
 GOODS_N_13733  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 GOODS_N_16813  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 GOODS_N_4014  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 GOODS_S_13971  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_10013704_2  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_20621    ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_3608     ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_53757_2  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_73488_2  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_77652    ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_8083     ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
!          ================= Final Summed Result =====================
 sum_all      All  2.6      22 5.05e+06     1087     883 5.03e+06    45758 -1.20e-06 1.0e+00 0.901 -9.90  2.04e-06 used_objs:8
!          =============================================================
!Accepted: 8  Near_src: 0  Out: 11   Total: 19
!Final Stacked Rate: -1.20e-06 +/-  1.08e-06 (Counting Statistics Error)
!Total Exposure:  5.05e+06 [sec]
!Please refer to bootstrap results for  better error analysis.
! Notes from Dataset (if any):
! 
! See <a href="./Notes_AEGISXD_1.txt"> this note </a> for details of the dataset used here for AEGIS-XD. Many thanks to Antonis Georgakakis for providing us with reprocessed data.
!Created by ./stackanalysis_v4.pl in https://lambic.astrosen.unam.mx/cstack_v4.5/Users/AEGISmaster_is090wC
